animal_id,sex,age,date,svl,tail-length,body-mass,feeding
24A,male,NA,7/13/08,36,47,1650,none
24B,female,NA,5/20/16,27,34.1,827,none
25A,male,NA,3/21/06,38.2,47.4,1783,none
25A,male,NA,5/22/09,39.5,49.6,2498,none
25A,male,NA,5/20/11,39.5,51,1970,none
25A,male,NA,6/3/18,39.1,49.3,2115,none
25B,female,NA,5/20/16,26.5,34.7,740,none
27A,male,2.5,3/21/06,13.7,18,95,none
27A,male,8.6,5/9/12,24.4,32.9,604,none
27A,male,12.7,5/20/16,28,37.3,985,none
27A,male,13.7,5/16/17,30,39.1,1025,none
28A,female,3.5,3/21/06,16,21.4,165,none
28A,female,5.6,5/15/08,20.1,26.8,312,none
28A,female,14.7,5/16/17,25.8,33.6,735,none
28B,male,NA,6/23/16,39.1,48.6,2710,none
28B,male,NA,9/8/16,38.3,48.7,2475,none
28B,male,NA,5/16/17,41,49.2,2540,none
28B,male,NA,6/2/18,39.8,48.1,2590,none
30A,female,NA,3/21/06,23.2,33,511,none
31A,male,NA,3/21/06,37,48.1,1989,none
31A,male,NA,7/20/06,38.7,48,2155,none
31A,male,NA,5/15/08,38.5,47.8,2065,none
31A,male,NA,7/14/08,38,48,2290,none
31A,male,NA,7/14/09,40.5,47.9,2465,none
31A,male,NA,5/9/12,39.5,48.7,2193,none
31A,male,NA,5/20/16,39.5,48.4,2207,none
31A,male,NA,9/8/16,38.8,47.7,2280,none
31A,male,NA,5/20/19,39,47.8,2190,none
31B,female,NA,6/23/16,28.3,36.9,855,none
32A,male,NA,3/21/06,25.3,34.5,625,none
32A,male,NA,7/13/08,31.1,40.5,1200,none
32A,male,NA,5/19/10,32,42,1101,none
32A,male,NA,5/9/12,35,43.7,1654,none
32A,male,NA,5/20/16,35.7,46.1,1680,none
32A,male,NA,6/24/16,35.5,44.8,1660,none
32A,male,NA,9/8/16,34.8,44.7,1695,none
32A,male,NA,6/2/18,36.7,44.2,1615,none
32A,male,NA,5/20/19,35.6,44.3,1644,none
32B,female,NA,6/23/16,25.2,32.7,655,none
33A,female,NA,3/21/06,33.5,46.2,1630,none
33A,female,NA,7/20/06,33.7,46.8,1538,none
33A,female,NA,6/29/07,34,46.5,1500,none
33A,female,NA,5/15/08,34,46.5,1630,none
33A,female,NA,7/13/08,34.9,46.7,1440,none
33A,female,NA,5/20/16,34.3,46.9,1545,none
33A,female,NA,9/8/16,34.1,46.7,1480,none
33B,male,NA,5/20/16,20.3,26.9,344,none
34A,female,NA,3/21/06,27.2,38.5,789,none
34A,female,NA,7/16/06,28,38.3,675,none
34A,female,NA,7/15/08,29.7,40.4,930,none
34A,female,NA,7/14/09,30.2,40.8,1105,none
34A,female,NA,5/9/12,30.3,42.1,1079,none
34A,female,NA,5/20/16,32.1,42.8,1134,none
34A,female,NA,5/20/19,31.7,42.2,1125,none
34B,male,NA,6/24/16,18.5,25.3,283,none
35A,male,NA,3/21/06,38.5,49.6,2153,none
35A,male,NA,5/19/10,44.8,54,3305,none
35A,male,NA,5/9/12,46.5,53.2,4101,none
35A,male,NA,5/20/16,45,54.5,4750,none
35A,male,NA,9/8/16,45.1,53.7,3970,none
35A,male,NA,6/2/18,48,53.4,3940,none
35A,male,NA,5/20/19,46,54,3400,none
35B,female,NA,6/24/16,28.6,36.8,850,none
35B,female,NA,5/20/19,28.6,37.2,955,none
36A,male,NA,3/21/06,18.7,25,250,none
36A,male,NA,7/1/07,23.2,31.4,555,none
36A,male,NA,7/16/08,25.7,34.6,664,none
36A,male,NA,7/16/09,28.4,36.1,840,none
36A,male,NA,5/20/11,28.5,36.6,778,none
36B,female,NA,6/24/16,27,NA,795,none
