animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
79,985121024821875,M,NA,07-Sep-16,35.6,51.9,2170,high
166,982000407478926,F,NA,04-Sep-18,35.8,50.4,2505,high
134,982000409784662,F,NA,11-Jun-19,35.9,51.5,2005,high
116,989001003028618,F,NA,12-Apr-14,36,50.2,2200,high
152,982000409784621,M,NA,24-Apr-18,36.0,53.2,2400,high
172,982000407478928,M,NA,11-Jun-19,36.0,50.5,2325,high
43,4B1442202C,F,NA,22-May-12,36.1,52,2260,high
90,985121024816119,M,NA,12-May-13,36.1,49.2,1945,high
138,982000409784586,M,NA,23-Apr-18,36.1,51.6,2315,high
8,501D526142,F,NA,30-May-03,36.4,55.4,2530,none
174,982000407478912,F,NA,04-Sep-18,36.5,51.0,1830,high
55,4B1E08183B,M,NA,18-May-13,36.5,51.3,2200,high
62,985121024818946,F,NA,12-Apr-14,36.6,25.5/30,2805,high
149,982000403120782,F,NA,11-Jun-19,36.6,52.3,2520,high
24,4B2114417E,M,NA,27-May-08,36.6,47.5,2260,high
190,982000407478935,M,NA,04-Sep-18,36.6,50.6,2555,high
97,985121024805094,F,NA,16-May-13,36.8,54.8,2240,high
36,4B212E3408,F,NA,01-Jun-08,36.8,53.2,2130,high
149,982000403120782,F,NA,24-Apr-18,37.0,52.1,2740,high
127,982000409784589,M,NA,07-Sep-16,37,53.8,2755,high
50,4B08290A7F,F,NA,23-May-10,37.1,56.3,2510,high
142,982000403120731,F,NA,11-Jun-19,37.1,50.8,2405,high
103,4B083D1E7B,F,NA,18-May-13,37.1,52.3,2450,high
183,982000409784769,F,NA,04-Sep-18,37.1,50.7,2110,high
26,4B1E0C3E1A,F,NA,11-Jun-19,37.1,54.9,2225,high
119,989001003028653,M,NA,04-Sep-18,37.1,53.3,2760,high
114,989001000105628,M,NA,19-May-13,37.3,54.6,2355,high
170,982000407478901,M,NA,04-Sep-18,37.3,55,2315,high
216,982126056325293,M,NA,11-Jun-19,37.3,52.4,2380,high
155,982000409784613,M,NA,04-Sep-18,37.4,52,2400,high
70,985121024897002,F,NA,20-May-12,37.5,54.1,2260,high
139,982000409784611,M,NA,23-Apr-18,37.5,54.1,2665,high
12,501D5A2576,M,NA,30-May-03,37.5,57.5,2800,none
149,982000403120782,F,NA,04-Sep-18,37.6,52.1,2870,high
131,982000409784631,M,NA,07-Sep-16,37.6,54.5,2525,high
148,982000403120620,M,NA,24-Apr-18,37.6,51.1,2375,high
89,4A0E384047,F,NA,04-Sep-18,37.7,50.8,2825,high
104,4A0E534136,M,NA,07-Sep-16,37.8,55.7,2895,high
75,985121024814448,M,NA,20-May-12,37.8,55.4,2620,high
80,985121024815290,F,NA,22-May-12,38,55.1,2795,high
141,982000409784648,M,NA,11-Jun-19,38,53.4,3070,high
109,989001000105659,M,NA,07-Sep-16,38.0,53.8,2975,high
225,982126056325254,F,NA,12-Jun-19,38.1,53.1,2120,high
145,982000409784612,F,NA,23-Apr-18,38.1,52.9,2600,high
180,982000407478917,M,NA,04-Sep-18,38.1,54.0,2480,high
58,4B2134435D,F,NA,24-May-10,38.2,55.2,2435,high
166,982000407,F,NA,11-Jun-19,38.2,50.9,2210,high
229,982126056325312,F,NA,12-Jun-19,38.2,54.4,2065,high
159,982000409784740,M,NA,04-Sep-18,38.2,50.8,2900,high
175,982000409784683,M,NA,04-Sep-18,38.2,55.5,3160,high
170,982000407478901,M,NA,12-Jun-19,38.2,55.7,2450,high
120,989001003028652,F,NA,12-Apr-14,38.3,54.4,2415,high
108,989001000105656,F,NA,18-May-13,38.4,53.7,2525,high
108,989001000105656,F,NA,11-Jun-19,38.4,53.4,2530,high
43,4B1442202C,F,NA,23-Apr-18,38.5,54.8,2760,high
128,982000409784633,M,NA,07-Sep-16,38.5,53.1,2345,high
169,982000407478877,M,NA,04-Sep-18,38.5,54.2,2650,high
69,985121024825418,M,NA,20-May-12,38.5,57.9,2580,high
94,985121024967978,M,NA,13-May-13,38.5,54.5,2380,high
30,4B1E076C0D,M,NA,31-May-08,38.6,57.6,2920,high
8,501D526142,F,NA,27-May-09,38.7,58.2,3000,high
139,982000409784611,M,NA,04-Sep-18,38.7,56.0,2955,high
152,982000409784621,M,NA,04-Sep-18,38.7,54.7,2790,high
57,4B09470946,F,NA,24-May-10,38.8,56.6,2375,high
132,982000409784593,M,NA,07-Sep-16,38.9,55.5,2775,high
22,4B1D6F5A6C,F,NA,27-May-08,39,55.9,2960,high
92,4B0819412C,M,NA,13-May-13,39,59.7,1930,high
179,982000407478921,F,NA,04-Sep-18,39.1,55.6,2900,high
128,982000409784633,M,NA,04-Sep-18,39.1,55.4,3345,high
126,982000409784665,M,NA,07-Sep-16,39.2,57.6,2560,high
22,4B1D6F5A6C,F,NA,12-Apr-14,39.3,56.7,3250,high
118,989001003028634,M,NA,12-Apr-14,39.3,58,2610,high
155,982000409784613,M,NA,24-Apr-18,39.3,50.1,2205,high
1,4139025D0C,F,NA,29-May-99,39.5,56.9,3600,none
181,982000407478937,M,NA,04-Sep-18,39.5,53.1,2925,high
76,985121024811754,M,NA,20-May-12,39.5,55.3,2660,high
156,982000403120787,F,NA,24-Apr-18,39.8,55.0,3220,high
151,982000409784640,M,NA,24-Apr-18,39.8,53.4,2480,high
139,982000409784611,M,NA,11-Jun-19,40.1,58.2,3380,high
190,982000407478935,M,NA,11-Jun-19,40.1,52.5,3015,high
13,44284C2267,F,NA,27-May-08,40.2,54.2,2840,high
69,985121024825418,M,NA,16-May-13,40.3,57,2710,high
13,44284C2267,F,NA,25-May-09,40.5,55,3010,high
186,982000407478966,F,NA,04-Sep-18,40.7,56.9,3115,high
29,4A745A2750,M,NA,31-May-08,40.8,59.3,3170,high
13,44284C2267,F,NA,23-May-10,41,57.5,2050,high
158,9820004074,M,NA,04-Sep-18,41.0,58.2,3150,high
64,985121024826493,M,NA,07-Sep-16,41.1,56.5,3790,high
214,982126056325341,M,NA,11-Jun-19,41.1,57.7,2955,high
159,982000409784740,M,NA,11-Jun-19,41.1,51.5,2745,high
29,4A745A2750,M,NA,13-May-13,41.2,59.5,2750,high
148,982000403120620,M,NA,11-Jun-19,41.2,52.8,3125,high
21,4B2112650C,M,NA,23-May-10,41.2,58.2,3240,high
